Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Data Scientist,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,,0,,
,,0,,
Business Analyst,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,2-3,,
Student,I am a student,2-3,"10-20,000",I do not know
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
,,0,,
Software Engineer,,0,,
Data Analyst,Computers/Technology,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Accounting/Finance,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Online Service/Internet-based Services,0-1,"0-10,000",I do not know
Data Analyst,Marketing/CRM,3-4,"0-10,000",No (we do not use ML methods)
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Computers/Technology,0-1,"0-10,000",
Student,I am a student,1-2,"0-10,000",I do not know
Software Engineer,Accounting/Finance,4-5,"150-200,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",
,,0,,
,,0,,
Other,Academics/Education,10-15,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",I do not know
Business Analyst,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,,0,,
Data Analyst,Marketing/CRM,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
,,0,,
Other,Online Service/Internet-based Services,1-2,"0-10,000",I do not know
Data Scientist,Hospitality/Entertainment/Sports,4-5,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Manufacturing/Fabrication,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,5-10,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"0-10,000",I do not know
Data Analyst,Marketing/CRM,5-10,"0-10,000",I do not know
Student,Computers/Technology,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Medical/Pharmaceutical,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Developer Advocate,Academics/Education,0-1,"10-20,000",
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
,,0,,
Consultant,Other,10-15,"60-70,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,5-10,"60-70,000",No (we do not use ML methods)
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Computers/Technology,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Salesperson,Computers/Technology,1-2,"40-50,000",No (we do not use ML methods)
Student,Academics/Education,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Medical/Pharmaceutical,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Analyst,Accounting/Finance,0-1,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,0-1,"0-10,000",
Consultant,Computers/Technology,0-1,,
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,I do not know
,,0,,
Student,I am a student,15-20,"0-10,000",I do not know
,,0,,
Data Scientist,Other,10-15,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Broadcasting/Communications,2-3,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Insurance/Risk Assessment,2-3,,No (we do not use ML methods)
Data Analyst,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,,0,,
Business Analyst,Online Service/Internet-based Services,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Consultant,Manufacturing/Fabrication,4-5,"0-10,000",No (we do not use ML methods)
,,0,,
Student,Computers/Technology,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
,,0,,
Data Analyst,Academics/Education,2-3,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,1-2,,
Software Engineer,Academics/Education,5-10,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,3-4,"70-80,000",We use ML methods for generating insights (but do not put working models into production)
Data Engineer,Computers/Technology,1-2,"10-20,000",No (we do not use ML methods)
Student,I am a student,0-1,,I do not know
Student,Computers/Technology,0-1,"0-10,000",I do not know
Not employed,,0,,
Software Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Marketing/CRM,3-4,"20-30,000",No (we do not use ML methods)
Data Analyst,Accounting/Finance,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,,0,,
Software Engineer,Computers/Technology,4-5,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,10-15,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,2-3,"50-60,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,3-4,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Academics/Education,10-15,,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Online Business/Internet-based Sales,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Computers/Technology,1-2,"10-20,000",No (we do not use ML methods)
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Student,Insurance/Risk Assessment,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,2-3,"0-10,000",I do not know
Business Analyst,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,Energy/Mining,0-1,"30-40,000",No (we do not use ML methods)
Student,Hospitality/Entertainment/Sports,4-5,"10-20,000",No (we do not use ML methods)
Data Engineer,Computers/Technology,15-20,"0-10,000",No (we do not use ML methods)
Consultant,Computers/Technology,0-1,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Assistant,Academics/Education,0-1,"0-10,000",I do not know
Business Analyst,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,
,,0,,
DBA/Database Engineer,Computers/Technology,15-20,"30-40,000",No (we do not use ML methods)
Chief Officer,Computers/Technology,3-4,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Not employed,,0,,
Software Engineer,Academics/Education,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
,,0,,
Other,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,4-5,"50-60,000",No (we do not use ML methods)
Not employed,,0,,
Student,I am a student,5-10,"0-10,000",
Software Engineer,I am a student,2-3,"0-10,000",
Not employed,,0,,
Data Scientist,Insurance/Risk Assessment,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,"0-10,000",I do not know
Software Engineer,Computers/Technology,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Other,Insurance/Risk Assessment,5-10,"10-20,000",No (we do not use ML methods)
Student,I am a student,0-1,,
Student,I am a student,4-5,,
Software Engineer,Accounting/Finance,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
,,0,,
Data Scientist,Computers/Technology,0-1,"10-20,000",
Product/Project Manager,Computers/Technology,3-4,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,2-3,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,2-3,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
Other,Academics/Education,5-10,"20-30,000",
Student,I am a student,15-20,,
Student,Shipping/Transportation,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Online Business/Internet-based Sales,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Consultant,Manufacturing/Fabrication,4-5,"60-70,000",No (we do not use ML methods)
Student,Academics/Education,0-1,"20-30,000",
Statistician,Accounting/Finance,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,,0,,
Software Engineer,Online Service/Internet-based Services,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Academics/Education,0-1,"0-10,000",I do not know
Student,I am a student,0,,
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,0,"0-10,000",I do not know
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,0-1,,
Data Scientist,Computers/Technology,1-2,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,I am a student,0-1,,We are exploring ML methods (and may one day put a model into production)
,,0,,
Data Scientist,Computers/Technology,0,,
Student,I am a student,0,,
Data Scientist,Insurance/Risk Assessment,0-1,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Retail/Sales,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0,,I do not know
Student,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Student,Energy/Mining,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Accounting/Finance,3-4,"60-70,000",I do not know
Research Scientist,Academics/Education,0-1,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Accounting/Finance,5-10,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,10-15,"0-10,000",No (we do not use ML methods)
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,,0,,
Student,Manufacturing/Fabrication,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,2-3,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,
Business Analyst,Accounting/Finance,5-10,"20-30,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,3-4,"40-50,000",No (we do not use ML methods)
Other,,0,,
Student,,0,,
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Computers/Technology,20-25,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,10-15,"20-30,000",No (we do not use ML methods)
Not employed,,0,,
Other,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,1-2,,
Student,I am a student,4-5,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Other,Other,0,,
Software Engineer,Online Service/Internet-based Services,10-15,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,
Data Scientist,I am a student,0,,
Salesperson,Accounting/Finance,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Energy/Mining,0-1,"40-50,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,3-4,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Academics/Education,15-20,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Other,3-4,"0-10,000",I do not know
Software Engineer,Broadcasting/Communications,4-5,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Research Assistant,Academics/Education,5-10,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,5-10,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Medical/Pharmaceutical,3-4,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Business Analyst,Retail/Sales,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Accounting/Finance,1-2,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Shipping/Transportation,1-2,"0-10,000",No (we do not use ML methods)
Business Analyst,Computers/Technology,0-1,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Data Analyst,Academics/Education,3-4,,I do not know
Manager,Marketing/CRM,4-5,"100-125,000",I do not know
Not employed,,0,,
Student,I am a student,0,,I do not know
Manager,Marketing/CRM,3-4,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Scientist,Marketing/CRM,4-5,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Government/Public Service,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,5-10,"0-10,000",
Student,I am a student,0-1,"90-100,000",I do not know
Software Engineer,Online Service/Internet-based Services,3-4,"0-10,000",I do not know
Student,I am a student,1-2,"0-10,000",
Consultant,Energy/Mining,4-5,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
,,0,,
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,
Research Scientist,Academics/Education,15-20,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,2-3,"0-10,000",No (we do not use ML methods)
Student,I am a student,4-5,"10-20,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,2-3,"40-50,000",I do not know
Data Engineer,Broadcasting/Communications,1-2,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,1-2,"30-40,000",No (we do not use ML methods)
Student,,0,,
Data Analyst,Academics/Education,0-1,"0-10,000",No (we do not use ML methods)
Data Scientist,Online Service/Internet-based Services,4-5,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
,,0,,
Student,Academics/Education,0,,
Student,I am a student,0,,I do not know
Data Engineer,Marketing/CRM,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Manufacturing/Fabrication,0-1,,
Data Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Manufacturing/Fabrication,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,
,,0,,
Research Scientist,Manufacturing/Fabrication,4-5,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,10-15,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Online Service/Internet-based Services,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,I am a student,0-1,"0-10,000",I do not know
Research Assistant,Academics/Education,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Shipping/Transportation,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,3-4,"80-90,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
,,0,,
Not employed,,0,,
Research Scientist,Academics/Education,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Government/Public Service,10-15,"400-500,000",No (we do not use ML methods)
Other,Accounting/Finance,15-20,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,15-20,I do not wish to disclose my approximate yearly compensation,I do not know
Marketing Analyst,Computers/Technology,2-3,"125-150,000",I do not know
Software Engineer,Computers/Technology,5-10,"80-90,000",I do not know
Consultant,Accounting/Finance,5-10,"150-200,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,
Data Engineer,Computers/Technology,30 +,I do not wish to disclose my approximate yearly compensation,I do not know
,,0,,
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,0,"0-10,000",I do not know
,,0,,
Software Engineer,Accounting/Finance,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Scientist,Marketing/CRM,1-2,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Manager,Retail/Sales,10-15,"80-90,000",No (we do not use ML methods)
Research Assistant,Medical/Pharmaceutical,4-5,"20-30,000",No (we do not use ML methods)
Student,Academics/Education,10-15,,We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Government/Public Service,4-5,"100-125,000",No (we do not use ML methods)
Consultant,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Manager,Computers/Technology,5-10,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Statistician,I am a student,4-5,I do not wish to disclose my approximate yearly compensation,I do not know
Other,Computers/Technology,5-10,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Chief Officer,Online Service/Internet-based Services,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Manager,Government/Public Service,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,15-20,"200-250,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Data Engineer,Computers/Technology,10-15,"80-90,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,4-5,"200-250,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,
Research Scientist,Academics/Education,30 +,"50-60,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
,,0,,
Student,I am a student,15-20,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,3-4,"0-10,000",I do not know
Data Scientist,Accounting/Finance,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Developer Advocate,,0,,
Data Engineer,,0,,
Chief Officer,Accounting/Finance,4-5,"400-500,000",I do not know
Manager,Government/Public Service,5-10,"40-50,000",
Data Engineer,I am a student,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,1-2,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Marketing Analyst,Marketing/CRM,0-1,"30-40,000",No (we do not use ML methods)
Data Engineer,Computers/Technology,5-10,,
Other,Online Service/Internet-based Services,5-10,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,3-4,"40-50,000",No (we do not use ML methods)
Student,Academics/Education,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Online Business/Internet-based Sales,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Accounting/Finance,4-5,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Chief Officer,Computers/Technology,10-15,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Data Analyst,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Medical/Pharmaceutical,1-2,"0-10,000",No (we do not use ML methods)
Consultant,Broadcasting/Communications,5-10,"150-200,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
Student,,0,,
Software Engineer,Computers/Technology,10-15,"0-10,000",No (we do not use ML methods)
Student,I am a student,3-4,,I do not know
Student,I am a student,0-1,"0-10,000",I do not know
Data Scientist,Online Service/Internet-based Services,1-2,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Hospitality/Entertainment/Sports,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,5-10,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Computers/Technology,15-20,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Engineer,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
Software Engineer,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Online Business/Internet-based Sales,1-2,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Engineer,Manufacturing/Fabrication,10-15,,
Student,I am a student,0-1,"0-10,000",
Research Scientist,Computers/Technology,5-10,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
Consultant,Accounting/Finance,20-25,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,0,,
Student,I am a student,4-5,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Scientist,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,2-3,,I do not know
Consultant,Computers/Technology,4-5,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Other,I am a student,0,,
Data Scientist,Computers/Technology,2-3,"90-100,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0,I do not wish to disclose my approximate yearly compensation,I do not know
,,0,,
Manager,Accounting/Finance,10-15,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Statistician,Academics/Education,1-2,"20-30,000",No (we do not use ML methods)
Research Assistant,Academics/Education,0-1,"0-10,000",No (we do not use ML methods)
,,0,,
Data Scientist,Online Service/Internet-based Services,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,,0,,
,,0,,
Data Scientist,Retail/Sales,2-3,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Manager,Computers/Technology,15-20,,
Student,I am a student,20-25,,I do not know
Software Engineer,Computers/Technology,1-2,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
,,0,,
Other,Retail/Sales,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,I am a student,0-1,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Manager,Accounting/Finance,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Consultant,Accounting/Finance,1-2,"20-30,000",No (we do not use ML methods)
Research Assistant,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Product/Project Manager,Computers/Technology,15-20,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Broadcasting/Communications,3-4,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Research Assistant,Manufacturing/Fabrication,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Marketing/CRM,0-1,I do not wish to disclose my approximate yearly compensation,
Student,I am a student,2-3,"0-10,000",
Other,Other,4-5,"10-20,000",No (we do not use ML methods)
Student,I am a student,0,,
Other,Computers/Technology,1-2,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,0-1,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Insurance/Risk Assessment,4-5,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,5-10,"30-40,000",No (we do not use ML methods)
Research Scientist,Computers/Technology,0-1,"50-60,000",
